Id;Brand;Model;Generation;Version;Length;Width;Height;Wheel Base;Petrol min cap;Petrol max cap;Petrol min hp;Petrol max hp;Avg weight;Price
1;alfa-romeo;147;none;none;422.3;172.9;144.2;254.6;1598;3179;105;250;1345;7629.3125
2;alfa-romeo;159;none;none;466.0;182.8;141.7;270.0;1742;3195;140;260;1530.0;16645.28125
3;alfa-romeo;giulietta;giulietta (tipo 940) (2010 - 2020);giulietta ii;435.1;179.8;146.5;263.4;1368;1742;105;241;1382.5;34468.6875
4;alfa-romeo;gt;none;none;448.9;176.3;136.2;259.6;1747;3179;140;240;1365.0;15358.84375
5;alfa-romeo;stelvio;none;none;468.7;190.3;166.6;281.8;1995;2891;200;510;1800.0;144953.34375
6;alfa-romeo;tonale;none;none;468.7;190.3;166.6;281.8;1995;2891;200;510;1800.0;184332.8125
7;audi;a1;type 8x - 2015 restyling (2015 - 2018);a1 2015 sportback;397.3;174.6;142.2;246.9;1395;1984;125;231;1297.5;47979.65625
8;audi;a1;type 8x - 2015 restyling (2015 - 2018);a1 2015;397.3;174.0;141.6;246.9;1395;1984;125;231;1272.5;47979.65625
9;audi;a1;type 8x (2010 - 2014);a1;395.4;174.0;141.6;246.9;1197;1984;86;256;1290.0;47979.65625
10;audi;a2;none;none;383.0;167.0;155.0;240.0;1390;1598;75;110;927.5;10055.78125
11;audi;a3;8p;none;421.4;176.5;142.1;257.8;1197;3189;102;250;1205;21133.9375
12;audi;a3;8v;none;423.7;177.7;142.1;260.1;1197;1984;102;300;1320.2;61821.78125
13;audi;a4; b7;none;458.6;177.2;142.7;264.8;1596;4163;102;420;1500;19896.03125
14;audi;a4;b5;none;448.0;173.0;142.0;262.0;1595;2771;101;265;1265;8826.5
15;audi;a4;b6;none;454.7;176.6;143.0;265.0;1595;4163;102;344;1500;12773.46875
16;audi;a4;b9;none;472.6;184.2;142.7;282.0;1395;2995;150;354;1500;120986.3125
17;audi;a4-allroad;none;none;472.1;184.1;149.5;280.5;1984;1984;211;211;1747.5;95571.8125
18;audi;a5;8t;a5 coupe 2020;469.2;184.6;136.8;276.5;1984;2894;150;450;1699.0;90305.75
19;audi;a5;f5;a5 cabriolet 2020;469.7;184.6;138.4;276.5;1984;2995;150;354;1835.5;91523.21875
20;audi;a5;f5;a5 sportback 2020;478.3;186.6;139.9;282.6;1984;2894;150;450;1734.0;90305.75
21;audi;a6;c4;none;479.7;178.3;142.0;268.7;1781;4172;101;326;1532.5;21326.764705882353
22;audi;a7;type 4g (2010 - 2018);a7 sportback 2015;497.4;191.1;142.0;291.4;1984;3993;252;605;1867.5;194162.875
23;audi;a7;type 4g (2010 - 2018);a7 sportback;496.9;191.1;142.0;291.4;2773;3993;204;560;1882.5;194162.875
24;audi;a7;type c8 - 2023 facelift (2023 - present);a7 sportback (c8 2023);496.9;190.8;142.2;292.6;1984;2995;265;340;1955.0;194162.875
25;audi;a7;type c8 (2018 - 2023);a7 sportback (c8);496.9;190.8;142.2;292.6;1984;3996;204;600;1971.5;258789.375
26;audi;a8;d4;a8 (d4);513.7;194.9;146.0;299.2;2995;4163;290;519;1970.0;108849.96875
27;audi;a8;d5;a8 l 2022 (d5);532.0;194.5;148.8;312.8;2995;3996;340;460;2243.5;291231.4375
28;audi;a8;d5;a8 2022 (d5);519.0;194.5;147.1;299.8;2995;3996;340;571;2218.5;291231.4375
29;audi;coupe;type b3 / b4 (1988 - 1996);coupe (b3/b4);440.0;172.0;138.0;255.0;1984;2771;113;230;1306.5;13653.9375
30;audi;q3;type f3 (2018 - present);q3 (f3);448.4;184.9;158.5;268.0;1498;2480;150;400;1684.0;87808.71875
31;audi;q3;type f3 (2018 - present);q3 sportback;450.0;184.3;155.6;268.0;1498;2480;150;400;1718.5;205640.0625
32;audi;q5;fy;q5 (fy 2021);468.2;189.3;163.5;282.4;1984;1984;204;265;1985.0;248460.375
33;audi;q5-sportback;none;none;468.9;189.3;163.3;282.4;1984;1984;204;265;1995.0;237542.8125
34;audi;q7;q7 ii (2015 - present);q7 2020;506.3;197.0;174.1;299.4;2995;3996;340;507;2359.0;261398.53125
35;audi;q8;none;none;498.6;199.5;170.5;299.5;2995;3996;340;600;2369.0;337434.78125
36;audi;r8;r8 1st gen (2005 - 2015);r8;443.1;190.4;125.2;265.0;4163;5204;420;560;1700.0;698796.75
37;audi;r8;r8 2nd gen (2015 - present);r8 spyder 2nd-gen;442.6;194.0;124.5;265.0;5204;5204;540;610;1782.5;698796.75
38;audi;r8;r8 2nd gen (2015 - present);r8 2nd gen;442.0;194.0;124.0;265.0;5204;5204;540;610;1662.0;698796.75
39;audi;r8;r8 2nd gen 2019 facelift (2019 - present);r8 spyder 2019;442.9;194.0;124.2;265.0;5204;5204;570;620;1825.5;698796.75
40;audi;r8;r8 2nd gen 2019 facelift (2019 - present);r8 coupe 2019;442.6;194.0;124.0;265.0;5204;5204;570;620;1704.5;698796.75
41;audi;rs4;none;none;458.6;177.2;142.7;264.8;1596;4163;102;420;1510.0;341556.4827586207
42;audi;rs6;none;none;492.6;187.4;146.1;291.2;1984;3993;179;560;1805.0;392036.875
43;audi;rs-q8;none;none;498.6;199.5;170.5;299.5;2995;3996;340;600;2369.0;642175.0
44;audi;s3;8p;none;421.4;176.5;142.1;257.8;1197;3189;102;265;1205;50914.17857142857
45;audi;s5;none;none;462.6;185.4;137.2;275.1;1798;4163;160;450;1647.5;93262.46875
46;audi;s6;c5;none;485.0;185.0;143.0;276.0;1781;4172;125;450;1500.0;33216.666666666664
47;audi;s7;c7;none;496.9;191.1;142.0;291.4;2773;3993;204;560;1882.5;262902.125
48;audi;tt;8s;tt (8s) roadster;417.7;183.2;135.3;250.5;1798;2480;179;400;1410.0;108724.53125
49;bentley;continental-gt;none;none;480.4;196.5;139.0;274.5;5998;5998;560;610;2350.0;507012.375
50;bmw;3gt;f34;none;482.4;182.8;150.8;292.0;1997;2979;184;306;1717.5;74920.8125
51;bmw;6gt;none;none;509.1;190.2;153.8;307.0;1998;2998;258;340;1911.5;181798.25
52;bmw;m2;none;none;446.8;185.4;141.0;269.3;2979;2979;370;450;1602.0;301147.09375
53;bmw;m3;none;none;470.9;182.7;144.2;285.1;1998;2998;156;510;1717.0;274996.875
54;bmw;m6;none;none;489.8;189.9;136.8;285.1;2979;4395;320;601;1975.0;176710.90322580645
55;bmw;seria-2;f22 / f23 / f45 / f46 / f87 (2014 - 2017);f87 m2;446.8;185.4;141.0;269.3;2979;2979;370;370;1582.5;95274.28125
56;bmw;seria-2;f22 / f23 / f45 / f46 / f87 (2014 - 2017);f46 2 series gran tourer;455.6;180.0;160.8;278.0;1499;1998;136;192;1555.0;95274.28125
57;bmw;seria-2;f22 / f23 / f45 / f46 / f87 (2014 - 2017);f45 2 series active tourer;434.2;180.0;155.5;267.0;1499;1998;136;231;1565.0;95274.28125
58;bmw;seria-2;f22 / f23 / f45 / f46 / f87 (2014 - 2017);f23 2 series cabrio;443.2;177.4;141.3;269.0;1499;2998;136;340;1662.5;95274.28125
59;bmw;seria-2;f22 / f23 / f45 / f46 / f87 lci (2017 - 2021);f45 lci 2 series active tourer;435.4;180.0;155.5;267.0;1499;1998;109;231;1480.0;95274.28125
60;bmw;seria-2;f44 / g42 / u06 (2020 - present);g42 2 series coupe;453.7;183.8;139.0;274.1;1998;2998;184;374;1674.0;95274.28125
61;bmw;seria-2;f44 / g42 / u06 (2020 - present);g87 m2 coupe;458.0;188.7;140.3;274.7;2993;2993;460;460;1787.5;301147.09375
62;bmw;seria-3;e90 (2005 - 2010);e90 3 series;452.0;181.7;142.1;276.0;1995;2996;129;306;1580.0;32321.8125
63;bmw;seria-3;e90 lci - 2009 update (2008 - 2014);e93 3 series cabrio lci;461.2;178.2;138.4;276.0;1995;3999;143;420;1787.5;32321.8125
64;bmw;seria-3;e90 lci - 2009 update (2008 - 2014);e92 3 series coupe lci;461.2;178.2;139.5;276.0;1995;3999;143;420;1575.0;32321.8125
65;bmw;seria-3;e90 lci - 2009 update (2008 - 2014);e90 3 series lci;453.1;181.7;142.1;276.0;1995;3999;143;420;1585.0;32321.8125
66;bmw;seria-3;f30 (2012 - 2015);f34 3 series gt gran turismo;482.4;182.8;150.8;292.0;1997;2979;184;306;1717.5;77114.78125
67;bmw;seria-3;f30 (2012 - 2015);f31 3 series touring;462.4;181.1;142.9;281.0;1598;2979;136;306;1652.5;69668.71875
68;bmw;seria-3;f30 lci (2015 - 2019);f31 3 series touring lci;463.3;181.1;142.9;281.0;1499;2998;136;326;1657.5;69668.71875
69;bmw;seria-3;f30 lci (2015 - 2019);f30 3 series sedan lci;463.3;181.1;142.9;281.0;1499;2998;136;326;1605.0;69668.71875
70;bmw;seria-3;g20 (2019 - 2022);g21 3 series touring;471.3;182.7;144.0;285.1;1998;2998;156;374;1804.5;153293.75
71;bmw;seria-3;g20 (2019 - 2022);g20 3 series;470.9;182.7;144.2;285.1;1998;2998;156;510;1717.0;153293.75
72;bmw;seria-3;g20 lci - 2023 update (2022 - present);g21 3 series touring lci;471.4;182.7;144.0;285.1;1998;2998;156;374;1760.0;153293.75
73;bmw;seria-3;g20 lci - 2023 update (2022 - present);g20 3 series sedan lci;471.4;182.7;144.0;285.1;1998;2998;156;374;1687.5;153293.75
74;bmw;seria-4;f3x (2013 - 2017);f32 4 series coupe;463.8;182.5;137.7;281.0;1997;2998;184;500;1602.5;119137.15625
75;bmw;seria-4;f3x lci (2017 - 2021);f33 lci 4 series cabrio;464.0;182.5;138.4;281.0;1998;2998;184;326;1850.0;219586.84375
76;bmw;seria-4;f3x lci (2017 - 2021);f32 lci 4 series coupe;464.0;182.5;137.7;281.0;1998;2998;184;460;1625.0;119137.15625
77;bmw;seria-4;g2x (2020 - 2024);g26 4 series gran coupe;478.3;185.2;144.2;285.6;1998;2998;184;374;1804.0;119137.15625
78;bmw;seria-4;g2x (2020 - 2024);g22 4 series coupe;476.8;185.2;138.3;285.1;1998;2998;184;510;1765.5;119137.15625
79;bmw;seria-4;g2x / g8x lci (2024 - present);g82 m4 coupe lci;480.1;188.7;139.7;285.7;2993;2993;480;530;1812.5;303251.75
80;bmw;seria-4;g2x / g8x lci (2024 - present);g22 4 series coupe lci;476.8;185.2;138.3;285.1;1998;2998;184;374;1747.5;119137.15625
81;bmw;seria-5;f10 (2010 - 2013);f07 5 series gt gran turismo;499.8;190.1;155.9;307.0;2979;4395;306;449;2082.5;64244.625
82;bmw;seria-5;f10 (2010 - 2013);f10 5 series sedan;489.9;186.0;146.4;296.8;1997;4395;184;560;1822.5;60911.78125
83;bmw;seria-5;f10 lci (2013 - 2017);f07 5 series gt gran turismo lci;500.4;190.1;155.9;307.0;2979;4395;306;449;2102.5;64244.625
84;bmw;seria-5;f10 lci (2013 - 2017);f10 5 series sedan lci;490.7;186.0;146.4;296.8;1997;4395;184;600;1812.5;52774.34375
85;bmw;seria-5;g30 (2016 - 2020);g31 5 series touring;494.3;186.8;149.8;297.5;1998;2998;184;340;1817.5;147198.375
86;bmw;seria-5;g30 (2016 - 2020);g30 5 series sedan;493.6;186.8;147.9;297.5;1998;4395;184;600;2212.5;147198.375
87;bmw;seria-5;g30 lci (2020 - present);g31 5 series touring lci;496.3;186.8;149.8;297.5;1998;2998;184;333;1922.5;147198.375
88;bmw;seria-5;g30 lci (2020 - present);g30 5 series sedan lci;496.3;186.8;147.9;297.5;1998;4395;184;635;1856.0;147198.375
89;bmw;seria-7;e65 (2001 - 2008);e66 7 series long;518.0;190.0;148.0;313.0;2979;5972;231;445;1982.5;32809.34375
90;bmw;seria-7;e65 (2001 - 2008);e65 7 series;503.0;190.0;149.0;299.0;2979;5972;231;445;1935.0;32809.34375
91;bmw;seria-7;f01 (2008 - 2015);f02 7 series lci;521.9;190.2;148.1;321.0;2979;5972;320;544;2085.0;74796.78125
92;bmw;seria-7;f01 (2008 - 2015);f01 7 series lci;507.9;190.2;147.1;307.0;2979;5972;320;544;2040.0;74796.78125
93;bmw;seria-7;f01 (2008 - 2015);f01 7 series;507.2;190.2;147.9;307.0;2979;5972;326;544;2092.5;74796.78125
94;bmw;seria-7;g11 (2015 - 2018);g12 7 series long;523.8;190.2;148.5;321.0;1998;6592;258;609;2012.5;207566.125
95;bmw;seria-7;g11 (2015 - 2018);g11 7 series;509.8;190.2;147.8;307.0;2998;4395;326;449;1872.5;207566.125
96;bmw;seria-7;g11 lci (2019 - 2022);g12 lci 7 series long;526.0;190.2;147.9;321.0;2998;6592;340;585;2112.5;207566.125
97;chevrolet;1500;none;none;548.3;203.2;188.4;364.5;4301;4301;288;289;3175.0;33000.0
98;chevrolet;aveo;aveo 1 (2002 - 2011);aveo t200;431.0;171.0;150.0;248.0;1206;1399;84;101;1091.0;14594.90625
99;chevrolet;aveo;aveo 2 (2011 - present);aveo t300;439.9;173.5;151.7;252.5;1229;1598;69;116;1205.0;14594.90625
100;chevrolet;camaro;camaro 2 (1970 - 1981);camaro 2nd-gen 1979;501.9;189.2;125.0;274.3;3751;5733;112;192;1567.0;123506.21875
101;chevrolet;camaro;camaro 2 (1970 - 1981);camaro 2nd-gen 1976;496.3;189.0;125.0;274.3;4093;5733;112;172;1609.0;123506.21875
102;chevrolet;camaro;camaro 2 (1970 - 1981);camaro 2nd-gen 1975;496.3;189.0;124.7;274.3;4093;5733;106;167;1637.0;123506.21875
103;chevrolet;camaro;camaro 2 (1970 - 1981);camaro 2nd-gen 1974;496.3;189.0;124.7;274.3;4093;5733;107;157;1632.5;123506.21875
104;chevrolet;camaro;camaro 2 (1970 - 1981);camaro 2nd-gen 1973;496.3;189.0;124.7;274.3;4093;5733;101;248;1626.0;123506.21875
105;chevrolet;camaro;camaro 2 (1970 - 1981);camaro 2nd-gen 1971;477.5;189.0;124.7;274.3;4093;6590;112;258;1548.5;123506.21875
106;chevrolet;camaro;camaro 2 (1970 - 1981);camaro 2nd-gen;477.5;189.0;127.3;274.3;4093;6590;112;380;1546.0;123506.21875
107;chevrolet;camaro;camaro 5 (2010 - 2015);camaro v;483.7;191.7;137.9;285.2;3564;6162;315;432;1878.5;123506.21875
108;chevrolet;camaro;camaro 6 (2016 - present);camaro 6 convertible;478.4;189.7;134.0;281.2;1998;6162;275;453;1836.0;123506.21875
109;chevrolet;camaro;camaro 6 (2016 - present);camaro 6;478.4;189.7;134.0;281.2;1998;6162;275;453;1721.0;123506.21875
110;chevrolet;corvette;corvette c5 (1997 - 2004);corvette c5;456.0;187.0;121.0;266.0;5666;5666;344;411;1440.5;155848.15625
111;chevrolet;corvette;corvette c6 (2005 - 2013);corvette c6;443.5;184.4;124.6;268.6;5967;7011;404;647;1508.0;155848.15625
