id;przeznaczenie;ekonomia;komfort;styl;min_price;max_price
1;Rodzinny;1;1;0;10000;30000
2;Sportowy;0;0;1;0;50000
3;Sportowy;0;0;1;0;50000
4;Sportowy;0;0;1;0;50000
5;Sportowy;0;0;1;0;50000
6;Miejski;1;1;0;10000;20000
7;Miejski;1;1;0;20000;30000
8;Uniwersalny;1;1;0;50000;70000
9;Rodzinny;2;2;-1;0;40000
10;Rodzinny;2;2;-1;0;40000
11;Trasy;2;2;0;80000;100000
12;Sportowy;0;0;1;50000;70000
13;Trasy;1;1;-1;30000;80000
14;Rodzinny;2;0;-1;70000;100000
15;Miejski;2;0;1;0;10000
16;Uniwersalny;2;0;-1;0;10000
